File Name, X-Value Mean, Y-Value Mean
596490_3348030.txt,596504.8136363636,3348046.2154545453
596490_3348060.txt,596505.463,3348077.3653333327
596490_3348090.txt,596506.7630303031,3348106.8690909087
596520_3348000.txt,596535.48,3348016.0658333334
596520_3348030.txt,596533.9026666667,3348046.5853333334
596520_3348060.txt,596532.2260869566,3348076.924782609
596520_3348090.txt,596537.7632142857,3348103.340714286
596550_3348000.txt,596564.4515384615,3348014.4019230776
596550_3348030.txt,596565.0207142857,3348045.7624999997
596550_3348060.txt,596566.9164285713,3348073.242142857
596550_3348090.txt,596561.421923077,3348104.593461538
596580_3348000.txt,596594.3992,3348016.3195999996
596580_3348030.txt,596593.6941666667,3348047.07625
596580_3348060.txt,596597.5313636363,3348075.130454545
596580_3348090.txt,596598.8920689656,3348104.9913793104
596610_3348000.txt,596625.7542857142,3348013.266785715
596610_3348030.txt,596626.6369230769,3348047.341538462
596610_3348060.txt,596626.8271999999,3348077.4652
596610_3348090.txt,596623.2695238095,3348103.781428572
596640_3348000.txt,596654.3225,3348012.8246428566
596640_3348030.txt,596654.3613043478,3348042.1813043486
596640_3348060.txt,596656.3738095239,3348076.924285715
596640_3348090.txt,596651.1153846155,3348100.2176923077
596670_3348000.txt,596685.2211111112,3348017.433888889
596670_3348030.txt,596687.2982352942,3348042.324117647
596670_3348060.txt,596683.9722222222,3348073.770833334
596670_3348090.txt,596687.0225,3348108.6509999996
596700_3348000.txt,596715.350625,3348013.8549999995
596700_3348030.txt,596713.6275,3348044.5725000002
596700_3348060.txt,596715.4652380953,3348074.829523809
596700_3348090.txt,596715.4447058823,3348103.871764706
596730_3348000.txt,596742.5583333333,3348015.987777778
596730_3348030.txt,596742.9926666667,3348045.544666667
596730_3348060.txt,596745.5052,3348076.9792
596730_3348090.txt,596745.3795833333,3348108.047083333
596760_3348000.txt,596775.230952381,3348013.174761905
596760_3348030.txt,596773.80875,3348043.38875
596760_3348060.txt,596780.1416666667,3348076.5661111115
596760_3348090.txt,596774.9388235294,3348106.2758823526
596790_3348000.txt,596808.1174999999,3348016.366428572
596790_3348030.txt,596806.7538095238,3348046.54952381
596790_3348060.txt,596800.5654545454,3348082.2790909093
596790_3348090.txt,596809.4447368422,3348106.7589473687
596820_3348000.txt,596836.4513636363,3348012.4177272734
596820_3348030.txt,596835.5658064517,3348046.6635483867
596820_3348060.txt,596840.1495833333,3348074.80125
596820_3348090.txt,596837.3565,3348102.2675
596850_3348000.txt,596866.7246153846,3348015.79076923
596850_3348030.txt,596864.0304545453,3348043.062727273
596850_3348060.txt,596862.0882352941,3348074.5729411766
596850_3348090.txt,596861.94,3348106.1095000003
596880_3348000.txt,596894.2455555556,3348015.696666667
596880_3348030.txt,596895.6462962963,3348043.178148148
596880_3348060.txt,596894.6540909092,3348073.485
596880_3348090.txt,596892.6587500001,3348105.0216666665
596910_3348000.txt,596921.6942307693,3348013.313461539
596910_3348030.txt,596927.9760714285,3348042.711785714
596910_3348060.txt,596925.9838461538,3348077.912307692
596910_3348090.txt,596924.0385714286,3348105.5807142854
596940_3348000.txt,596955.978125,3348012.8746875003
596940_3348030.txt,596955.204090909,3348040.0645454545
596940_3348060.txt,596956.2204,3348072.0091999997
596940_3348090.txt,596953.5279999999,3348108.392
596970_3348000.txt,596983.976521739,3348015.679565218
596970_3348030.txt,596983.3735294117,3348044.2217647056
596970_3348060.txt,596985.9753846152,3348075.4600000004
596970_3348090.txt,596984.62125,3348103.988125
